Income,Expenses,Savings,Loan Amount,Credit Score,Investments,Age,Employment Status,Marital Status,Dependents
6897,2769,3991,13525,658,18517,23,Retired,Married,3
5169,2864,2081,19918,802,12830,28,Retired,Single,4
4878,8216,826,3812,617,11589,53,Employed,Single,4
9454,2423,1665,11652,311,35830,37,Unemployed,Single,1
7570,1970,129,2319,776,5627,61,Employed,Single,4
13809,8097,1417,8163,593,46910,37,Unemployed,Married,4
4515,4454,3787,209,739,1468,44,Employed,Single,0
3574,2648,1407,4834,815,2344,23,Unemployed,Married,3
5867,4586,593,19191,690,26454,50,Unemployed,Single,3
6544,2129,1037,12446,615,7098,47,Unemployed,Married,0
7477,8907,2128,3962,307,45869,67,Employed,Single,1
3071,2274,3278,13028,807,33229,51,Unemployed,Single,2
13760,2843,4299,18774,423,37575,22,Retired,Married,1
14629,8898,22,11717,671,38504,33,Unemployed,Single,0
5980,8697,1633,4794,613,22341,29,Employed,Single,4
12309,6516,4001,16229,484,16375,29,Employed,Married,0
8492,9297,4199,2444,846,31106,28,Retired,Married,3
13578,4399,1405,10775,824,37651,69,Unemployed,Married,4
14700,2434,1478,8332,338,26905,68,Employed,Single,1
12551,3486,1194,19248,383,1091,38,Unemployed,Single,4
7759,6496,575,2607,320,2884,24,Retired,Married,3
12707,8042,1606,19301,552,14432,51,Retired,Married,0
11084,6965,4369,18602,602,48050,46,Employed,Married,1
3039,7811,451,18181,557,20505,23,Unemployed,Single,2
12574,3005,124,9168,841,15202,53,Retired,Single,2
13222,6863,3454,2573,760,11231,51,Retired,Married,0
13813,2510,2364,18973,523,41410,66,Employed,Married,1
8373,4977,1866,3283,391,41720,25,Retired,Married,1
10565,9241,1683,9991,579,10595,54,Employed,Married,4
4900,5357,906,17845,469,21087,27,Retired,Single,0
5217,5339,3534,713,547,5482,33,Retired,Married,4
7796,5768,429,18807,660,35749,19,Employed,Married,0
7606,4053,2751,1890,648,14918,36,Employed,Single,3
4283,5889,3825,19951,734,30984,24,Unemployed,Married,0
11775,2051,361,5375,705,43752,19,Retired,Married,4
11650,7066,4891,15579,377,16813,62,Unemployed,Single,1
13457,7258,431,9870,757,5466,40,Unemployed,Married,0
13858,4551,2722,18531,691,35999,48,Employed,Married,1
3815,6822,4954,9109,313,23165,21,Retired,Married,3
5511,4055,3061,10716,344,42164,33,Employed,Single,2
3246,2589,3223,18190,337,14241,27,Retired,Married,2
7825,1958,1630,15817,715,44179,66,Employed,Single,4
9516,6221,4671,4051,544,14112,38,Retired,Single,0
3416,7804,4988,8751,361,25797,45,Unemployed,Single,3
9702,3420,269,13640,792,10383,63,Retired,Married,3
6717,9194,1123,10103,622,20699,29,Retired,Single,1
3107,7168,3176,3762,551,12481,30,Employed,Single,4
13823,7798,3392,11743,767,6175,69,Retired,Married,3
12030,8129,4533,10087,360,18982,57,Retired,Single,0
7513,6646,1042,12122,418,32334,34,Retired,Single,3
4421,2503,1641,15841,386,18926,35,Retired,Single,2
10283,4583,2441,10042,379,9333,27,Unemployed,Married,4
3255,4089,3297,6173,527,15460,45,Employed,Single,1
10248,5810,1383,18516,782,1089,30,Retired,Single,0
14019,3741,3996,6932,609,29561,51,Employed,Married,2
12029,7266,14,17909,784,21790,66,Unemployed,Married,3
5962,9211,1674,16712,324,6490,23,Unemployed,Single,4
5282,6480,3617,2657,501,49055,29,Retired,Married,4
11744,2438,1480,8779,524,44223,46,Employed,Single,0
11372,5801,1745,19589,809,12704,30,Employed,Married,1
4477,5470,3046,6833,819,33627,43,Employed,Single,2
11762,5499,4210,7907,482,18593,21,Unemployed,Married,1
7952,6150,975,1598,376,38746,32,Unemployed,Single,0
8880,8127,1685,3851,725,36992,33,Retired,Single,0
12919,4908,2083,7582,366,38624,36,Employed,Married,2
8592,1748,2289,11009,793,25177,64,Employed,Married,4
10091,7450,1686,7823,846,23623,43,Unemployed,Married,4
3591,4426,4158,4607,376,26935,49,Retired,Married,2
9277,9475,508,5507,354,1148,23,Retired,Married,1
5260,5357,187,5934,772,16263,69,Retired,Single,2
14139,6430,2782,9203,546,25449,23,Unemployed,Single,4
3347,8514,4188,4659,738,25083,22,Employed,Married,1
11357,8466,4100,4398,613,32602,19,Retired,Single,3
8032,8087,3509,6242,619,43314,69,Retired,Single,1
7443,7996,3517,10796,519,14538,19,Employed,Married,4
14088,6591,2072,14377,670,47883,54,Retired,Single,0
11774,2177,97,6611,515,27981,20,Unemployed,Married,1
9869,7409,1291,14775,348,49956,23,Retired,Single,1
14698,3061,3464,6712,762,3363,48,Employed,Single,0
8696,5553,1787,18407,417,28508,60,Unemployed,Married,4
6038,5156,683,4507,381,4107,22,Retired,Single,3
5845,6734,1132,13937,562,6628,67,Employed,Married,3
10864,5646,4122,19569,795,2451,63,Employed,Single,2
13958,6988,3204,12343,475,49963,27,Employed,Single,3
9609,9581,3123,14035,388,42409,44,Employed,Single,3
4265,1709,3836,11533,658,16180,41,Retired,Married,1
14159,6483,4876,16579,585,13377,39,Retired,Married,2
5274,8641,1614,15438,596,44548,42,Unemployed,Single,3
5470,6445,1041,13968,559,21319,20,Unemployed,Married,1
13482,9480,2865,17490,774,31685,33,Employed,Married,2
5577,5466,854,19173,835,24214,47,Employed,Married,1
6660,4324,2026,10376,336,32113,65,Unemployed,Single,0
4068,2750,1987,718,480,18673,60,Retired,Married,4
8591,6258,2550,7076,324,32877,21,Retired,Married,4
8974,5863,239,3995,648,36865,60,Retired,Married,4
13928,3663,489,305,842,47356,57,Employed,Married,3
7829,3353,3851,8579,526,19531,33,Unemployed,Married,4
4950,2253,1036,8916,647,10657,57,Unemployed,Married,4
11283,6948,1338,14177,337,5520,58,Unemployed,Married,2
6093,3368,4780,13202,682,47109,63,Retired,Married,2
13411,1681,3269,2596,535,37484,25,Unemployed,Married,2
8311,3013,2554,14841,480,30577,41,Unemployed,Married,3
4387,4844,3500,18819,413,48599,33,Retired,Single,4
7274,6738,3862,15788,605,31558,44,Employed,Single,3
5285,8589,1767,18287,431,42610,19,Employed,Single,3
6206,7901,4708,15883,647,30669,37,Retired,Single,3
5924,4056,161,9896,479,28838,68,Unemployed,Single,3
10045,7598,655,19767,714,2210,37,Employed,Married,3
11471,6780,3006,13376,684,35955,37,Employed,Married,3
4618,5744,4716,14838,811,9058,36,Employed,Married,4
13979,3664,3506,12857,342,44304,68,Retired,Married,2
11562,8101,1256,1283,779,33699,35,Employed,Single,1
8896,3521,2158,14920,417,12463,30,Unemployed,Single,1
14375,4321,1951,247,360,3843,34,Retired,Married,1
10843,7438,749,6642,487,15335,50,Retired,Married,0
12895,7632,708,17365,752,20834,45,Employed,Single,2
13460,7469,1621,4363,486,28727,22,Unemployed,Married,4
10063,7668,4136,13951,763,7644,45,Retired,Married,3
11495,2213,4655,17949,463,46314,42,Employed,Single,1
14966,8703,465,18525,723,43596,37,Unemployed,Married,2
4348,5045,3995,735,401,31239,38,Unemployed,Married,4
8556,9914,1100,10851,566,21244,30,Retired,Married,1
8289,2363,1713,14406,452,18528,23,Employed,Single,2
5422,6125,4585,14928,728,41428,46,Unemployed,Single,4
6628,6807,116,16832,726,1017,59,Retired,Single,2
5428,2925,2481,7534,835,47388,26,Retired,Single,3
6033,3804,195,1835,632,6999,46,Retired,Single,2
9157,2153,4714,4715,739,19040,55,Retired,Single,2
11860,9629,1474,613,423,13397,18,Retired,Single,0
11691,8234,2472,876,601,46386,47,Unemployed,Married,3
10813,1943,4129,10767,648,35055,67,Retired,Single,2
4414,8959,3054,9325,548,17651,49,Employed,Married,3
9708,6169,1274,671,570,34202,40,Employed,Single,2
11721,6606,3709,1630,728,36265,56,Unemployed,Married,3
9635,5936,338,360,546,40208,27,Retired,Married,4
6621,4357,3511,14713,780,39805,61,Retired,Single,1
14648,4539,4275,10584,397,41574,38,Unemployed,Married,0
8315,9791,4717,3901,628,35381,43,Retired,Single,1
3754,4237,3299,17181,724,42678,32,Retired,Married,2
5347,8456,1656,18167,723,45938,34,Employed,Married,2
3726,6739,642,14790,304,24548,52,Retired,Married,4
7923,3107,1680,16450,758,49524,42,Unemployed,Single,2
5649,4453,1350,15314,797,48515,32,Employed,Married,3
13238,7433,618,2090,386,45632,50,Unemployed,Married,1
5815,6182,1169,11707,701,23847,28,Unemployed,Single,2
12066,7833,251,1055,592,26316,41,Retired,Single,4
6279,8892,301,6256,580,6695,23,Retired,Married,0
5984,8109,3141,14141,496,14637,45,Employed,Single,1
13370,6425,1566,12746,382,14878,46,Unemployed,Single,4
6807,8750,3164,3347,326,38280,65,Unemployed,Single,4
10876,7283,3957,9361,434,41728,38,Retired,Single,1
9099,8223,2210,13668,389,46937,29,Unemployed,Married,4
3607,1684,3152,4101,505,5886,39,Unemployed,Single,0
9169,2021,3659,7507,326,4771,44,Unemployed,Married,0
10790,2748,611,15327,677,31647,38,Unemployed,Single,2
8573,2502,1943,8685,714,39672,32,Unemployed,Single,3
3634,7766,73,3179,526,47686,35,Employed,Single,2
13919,7944,2873,12035,367,48193,27,Unemployed,Married,3
4074,8517,4637,17747,661,16094,39,Unemployed,Married,1
4914,3117,156,15009,559,20896,61,Employed,Married,4
3588,2160,3558,11590,362,26674,37,Retired,Married,2
6231,7024,255,1056,691,45765,36,Retired,Single,4
9351,9116,3110,142,545,47346,45,Employed,Married,2
13496,6750,1051,11507,577,28559,54,Employed,Single,2
6838,9012,2417,10076,646,25487,67,Retired,Married,0
4973,8405,2256,18648,671,12575,68,Unemployed,Single,3
8044,1819,2634,18308,422,19228,61,Unemployed,Married,1
13247,5100,2896,12237,356,4924,18,Employed,Single,4
14672,7460,1891,2481,459,49469,51,Unemployed,Single,2
13271,6779,3683,10082,426,30097,52,Employed,Married,4
9103,3267,4411,7896,610,46938,43,Retired,Married,0
9683,3298,3464,19509,817,31509,47,Unemployed,Single,1
8837,1782,2491,7050,564,22265,29,Retired,Single,3
14244,7837,3739,6011,587,17918,31,Unemployed,Married,3
12443,6666,1775,15330,719,41345,56,Unemployed,Single,2
9783,8621,3936,11414,827,6730,21,Unemployed,Married,1
8594,8909,1970,4150,439,9476,29,Employed,Single,3
14987,6989,3719,15876,774,41755,41,Retired,Married,1
6822,6396,3953,7004,828,11861,57,Employed,Married,4
6389,1630,2492,9198,688,26705,48,Employed,Married,0
8914,2793,4665,1220,810,42463,18,Retired,Single,1
4780,7559,648,4661,837,5141,54,Retired,Married,1
13796,8457,1640,4866,512,41704,18,Employed,Married,3
6688,1560,4434,1797,812,30839,32,Employed,Married,2
12916,3711,528,5974,564,23245,30,Employed,Married,2
10211,7776,2101,13165,642,19767,46,Retired,Married,4
13976,6863,418,19255,337,19831,62,Employed,Single,3
8037,9652,2352,18001,532,38572,21,Retired,Single,3
14911,9473,3509,7005,559,48083,32,Employed,Single,0
9319,1537,84,4612,607,20653,61,Retired,Married,2
12869,7490,2299,18416,702,9568,57,Employed,Single,3
11640,6938,1751,9865,560,43145,65,Unemployed,Married,4
3081,9177,4221,11891,775,28855,29,Unemployed,Single,0
9278,1973,2657,10283,405,40830,42,Retired,Single,2
9999,1558,3975,4953,546,15379,44,Retired,Single,2
4406,4136,2351,7051,603,3847,23,Unemployed,Single,2
10410,4114,3099,12545,642,25042,40,Retired,Married,0
4480,8796,1289,13248,746,24830,32,Retired,Single,4
12271,6499,3123,17276,337,25467,56,Unemployed,Single,4
6598,9776,2702,17355,345,34500,22,Employed,Married,3
10993,5297,643,16486,519,41081,40,Retired,Single,3
7183,4174,2905,15139,555,24620,32,Retired,Single,2
6680,7936,4067,15508,436,46577,42,Employed,Married,1
13895,4620,4063,3246,530,35926,47,Employed,Single,3
10644,3576,4669,13965,337,25195,61,Retired,Single,4
7310,4690,2922,3417,454,45254,60,Retired,Married,2
14948,6287,2021,6445,802,29222,21,Employed,Married,4
4758,7556,3624,5417,404,5619,30,Retired,Single,2
5599,8994,2870,15494,554,11503,67,Employed,Single,0
8616,5077,3118,13366,703,33287,57,Employed,Single,3
8813,6241,136,13302,787,21428,56,Retired,Married,0
13742,8332,4225,3659,757,2210,40,Retired,Married,3
6853,4081,1218,7506,827,12606,33,Employed,Single,4
13938,5287,1017,5673,824,36938,52,Retired,Married,4
5292,8603,3700,2157,669,24857,33,Employed,Married,1
4501,2432,4527,16965,401,19132,65,Unemployed,Single,4
11422,3163,3140,795,840,16558,24,Unemployed,Married,2
10550,9414,3529,11389,811,1918,62,Employed,Married,1
7250,6352,2587,18267,688,26695,30,Employed,Married,2
12390,2604,2382,11559,662,9897,68,Retired,Married,1
9991,2770,2605,13490,414,23438,67,Employed,Single,2
3114,5146,3087,6044,642,22313,46,Employed,Married,1
12605,6587,3527,9001,373,45390,56,Retired,Single,3
7406,6223,2557,572,434,3861,37,Retired,Single,3
12184,3554,208,1206,679,35575,67,Unemployed,Single,1
5347,8158,3810,16283,789,26975,46,Employed,Single,0
4041,3342,4153,13096,424,3649,35,Employed,Married,1
9927,4302,2007,19464,337,5423,39,Unemployed,Single,0
3011,9235,2863,2460,609,43580,53,Employed,Single,2
10980,9701,3376,4925,405,36210,58,Retired,Married,1
10871,9813,1368,18997,524,8639,65,Employed,Married,0
9375,7605,3800,1715,541,3595,53,Retired,Married,1
10098,4060,1037,14439,696,22521,25,Employed,Single,3
6676,4537,4472,1569,452,46974,20,Unemployed,Single,3
9109,4249,2290,17060,835,46132,46,Retired,Married,1
8397,2090,992,13232,701,5075,26,Retired,Married,1
6065,2868,2938,10025,445,33241,25,Unemployed,Single,4
5036,2861,4510,14605,490,10641,47,Retired,Married,3
6046,9628,393,2513,500,21326,29,Unemployed,Married,2
13542,5273,3686,8992,311,35539,63,Employed,Single,1
3540,3564,4824,9333,351,37460,45,Unemployed,Married,4
14052,3915,357,16225,601,26094,59,Employed,Married,1
3076,4451,4004,13923,599,19735,66,Retired,Married,3
6067,7116,1181,19436,820,43095,60,Retired,Married,0
3023,9475,2065,2031,439,20156,27,Unemployed,Married,0
8134,8601,3902,17892,399,34679,30,Employed,Married,3
3675,6503,3418,9302,784,10007,19,Unemployed,Single,2
9668,9806,3129,4329,436,43922,18,Retired,Single,4
13586,7743,154,17296,665,14377,39,Retired,Married,1
7267,8081,3558,5322,833,2800,50,Employed,Single,1
8988,9830,1554,1055,806,18192,33,Employed,Married,1
14590,6423,486,7107,460,38901,59,Retired,Single,4
13951,7967,1382,5670,474,42529,46,Retired,Married,4
10652,6441,2415,12381,387,1969,27,Employed,Single,3
11680,7937,1070,13833,698,37847,56,Unemployed,Married,4
4485,7576,2254,18134,779,16601,24,Unemployed,Married,1
6659,7148,1506,7575,844,48456,18,Employed,Married,1
14427,9501,1875,11363,776,37087,43,Employed,Single,4
5419,2815,2190,3012,582,38473,62,Employed,Single,4
10740,1573,1070,19812,751,40379,22,Retired,Single,3
10143,3049,190,11754,381,31655,52,Unemployed,Married,0
6495,2859,139,5138,512,16259,30,Employed,Single,4
3756,3396,4710,16198,819,1387,44,Unemployed,Single,0
13716,8159,4010,4391,433,47753,29,Retired,Married,2
11448,6746,3411,12812,746,41835,47,Retired,Married,0
4779,8467,2972,13412,417,46814,67,Employed,Single,4
13307,8161,1514,7322,542,3489,49,Employed,Married,1
9487,2010,3120,9809,449,42475,48,Employed,Single,1
14540,3932,3970,5224,832,3890,22,Employed,Married,4
12664,3406,4719,7951,678,46100,54,Unemployed,Married,3
3258,1564,3524,13837,824,35210,19,Employed,Single,4
7075,6428,1345,11391,812,1722,55,Unemployed,Married,4
11498,6210,4182,12688,416,9947,24,Retired,Married,3
11014,7624,1917,9787,616,36018,18,Retired,Married,3
4118,9337,4377,1989,311,36354,20,Unemployed,Married,2
10631,2300,3910,2604,389,42345,37,Unemployed,Married,2
6017,7563,452,18791,687,23510,19,Employed,Married,2
7341,9969,4142,63,382,40541,59,Employed,Married,3
13972,7609,1611,12152,695,12207,60,Employed,Married,0
4658,8159,3167,19196,844,16073,38,Retired,Married,4
11378,2738,2078,11013,399,13647,62,Unemployed,Married,2
4797,8082,2581,4027,756,9190,49,Unemployed,Married,0
12116,6023,2064,14959,627,37855,65,Unemployed,Married,4
3784,7120,1258,101,373,38846,37,Unemployed,Single,0
14636,2986,4487,11490,395,9142,60,Employed,Married,1
8691,6181,353,16056,391,27543,67,Employed,Married,1
6196,5970,4400,3135,629,46260,48,Unemployed,Married,4
12552,7119,3636,17564,474,36806,60,Employed,Single,0
11532,9784,1563,5509,614,43032,50,Retired,Single,0
3562,8677,711,2728,796,27876,41,Employed,Single,3
7746,6941,3502,7631,568,15413,35,Retired,Single,2
5999,3340,2732,10884,727,1768,37,Retired,Married,4
4193,6897,4881,16788,334,28255,49,Unemployed,Married,0
14302,3121,856,2873,418,42946,22,Unemployed,Married,2
3068,3061,4272,15491,670,45066,19,Employed,Single,4
8679,7349,1429,3268,750,6557,43,Unemployed,Married,0
5428,2916,2492,19078,608,44319,42,Retired,Single,1
9200,5690,3198,10274,656,28620,67,Retired,Single,0
8396,6554,3420,18851,675,19691,39,Employed,Single,1
9993,2630,2068,15758,404,35157,56,Retired,Married,1
6598,5097,4806,18305,689,40507,39,Unemployed,Married,3
13564,3618,3491,3959,475,11773,28,Employed,Married,3
12035,2163,151,13894,405,11263,28,Employed,Married,2
3573,4134,3231,4848,462,14386,62,Employed,Single,4
7214,4274,2906,19752,566,23381,21,Unemployed,Married,2
10636,7694,3551,11177,578,43629,50,Retired,Married,3
13788,5469,1466,15690,602,16258,35,Unemployed,Married,2
4478,4990,4191,679,426,26993,48,Employed,Single,4
13265,3023,3423,17131,545,49585,61,Retired,Single,4
12705,9553,4057,17705,533,40021,45,Employed,Married,0
9127,2487,2925,15942,738,40001,59,Unemployed,Married,2
12160,9415,3665,12342,436,13324,39,Employed,Single,3
9676,7903,4735,4789,448,28445,57,Unemployed,Single,0
5196,6821,3430,533,355,27162,20,Employed,Married,2
12703,5345,1156,18202,655,5667,24,Employed,Single,4
11166,7801,4207,15534,556,33383,37,Employed,Single,3
11846,1598,3408,18725,362,21786,60,Unemployed,Single,2
9050,3788,1161,6694,362,11418,24,Unemployed,Single,4
14184,5797,1259,5006,328,32259,24,Unemployed,Single,4
7650,9296,4090,4545,599,49879,46,Unemployed,Single,2
11484,8763,2841,9660,514,32651,43,Unemployed,Single,2
13793,5459,3202,4907,440,15055,58,Retired,Married,3
7526,8885,2981,4485,806,10123,20,Employed,Single,0
7412,9964,3554,1235,798,40756,60,Unemployed,Married,4
8443,6838,3472,10906,801,14755,34,Retired,Married,0
12780,6381,1224,9900,490,10734,57,Retired,Married,0
11787,5454,4387,15894,348,49704,37,Employed,Married,4
5593,5427,2389,1145,662,35760,51,Employed,Married,2
13315,6411,1014,14476,795,45666,69,Employed,Married,4
13135,1913,4680,1475,576,37827,50,Unemployed,Single,0
12107,3050,2026,19305,346,24587,33,Employed,Single,3
9852,6026,3713,10047,515,40661,40,Employed,Married,4
9629,8641,1492,12156,529,12741,21,Employed,Married,3
6869,8071,4122,15676,622,20528,58,Retired,Single,2
13986,3446,1700,1604,720,49157,57,Unemployed,Single,2
14270,6703,454,14932,524,24266,50,Employed,Married,3
10971,1691,917,13593,586,24854,25,Retired,Married,3
12167,1540,13,11471,345,16706,22,Unemployed,Married,4
12267,7392,4374,5047,313,43494,50,Employed,Single,2
10822,4949,489,10196,674,16876,42,Retired,Single,3
5989,9827,984,8175,632,46802,24,Unemployed,Single,1
10062,7409,960,14983,465,20058,64,Employed,Married,4
14659,3441,1782,1836,806,5548,24,Employed,Single,4
8340,5721,1869,13992,416,30502,50,Retired,Married,1
12643,9024,3304,6476,738,15263,58,Employed,Married,2
6823,8043,2644,16069,603,2552,50,Retired,Single,3
6932,7722,4345,9316,756,7014,46,Retired,Single,3
13220,3058,4835,17766,570,14106,61,Retired,Single,2
11554,3621,3668,9962,515,18776,56,Unemployed,Married,1
5429,2528,4401,3400,412,16396,58,Retired,Single,1
14824,9773,1825,13929,315,27455,49,Unemployed,Married,1
10444,7156,3307,18588,515,42340,54,Employed,Single,4
13510,4538,3362,19728,726,1648,61,Unemployed,Married,3
14277,3378,3110,19398,434,46301,46,Retired,Single,0
13537,3771,2765,12494,342,29197,39,Employed,Married,4
10147,3107,4278,9972,583,38428,19,Retired,Single,4
10631,4639,3770,1628,397,12609,67,Retired,Married,3
6598,2105,2692,6764,359,34588,26,Employed,Single,2
7329,6235,29,9521,529,27592,46,Retired,Single,3
9718,5165,766,5745,684,16920,50,Unemployed,Single,2
12923,7352,614,9751,458,22829,27,Employed,Single,3
11218,6962,1004,1290,770,8695,45,Employed,Married,4
3092,3644,2121,18970,507,38644,63,Employed,Single,1
13856,5770,3126,6123,473,20179,63,Retired,Married,4
11500,9607,3009,4930,380,37984,56,Retired,Single,4
3051,2876,3819,2550,317,3134,29,Employed,Single,0
3318,4962,23,17339,590,3177,39,Unemployed,Single,4
13184,1847,4059,8771,659,19683,23,Retired,Single,4
8688,1500,3093,10129,578,32506,62,Retired,Married,4
10018,1562,2910,16340,696,18767,57,Retired,Married,0
10210,3283,1970,18381,441,12693,40,Unemployed,Single,2
6956,9917,1538,6983,816,5142,51,Retired,Married,0
9057,8066,3141,9857,550,45622,59,Retired,Married,1
13884,2542,4767,2130,839,24028,55,Unemployed,Single,2
14210,2734,3969,3740,536,27409,33,Unemployed,Single,0
13216,3484,2924,18884,431,3472,27,Retired,Married,1
9875,3094,570,5307,605,16300,64,Employed,Married,1
7431,7757,4859,12904,657,31549,38,Employed,Single,3
4525,3452,1242,6767,584,14018,69,Unemployed,Single,3
10043,3195,712,17881,592,13398,27,Retired,Single,4
4278,2454,4862,13582,462,26826,28,Unemployed,Single,2
11705,4791,1293,3144,718,4110,38,Unemployed,Single,0
9125,2468,2866,10143,767,42094,42,Employed,Single,4
10874,1741,1674,9651,806,14606,51,Unemployed,Single,2
12925,5734,3663,8025,777,9801,48,Unemployed,Single,3
14562,9838,1359,16676,661,44994,44,Retired,Single,0
9900,8849,635,8846,611,23955,42,Retired,Single,1
5500,6661,1209,11176,544,32811,59,Unemployed,Married,1
6464,2525,2612,19188,776,4774,49,Unemployed,Married,4
5259,4859,1297,7604,735,27822,61,Retired,Married,4
10496,6757,357,7139,549,1258,28,Employed,Single,0
5659,7236,240,16211,321,7868,64,Retired,Married,1
3255,9179,2604,7828,776,7817,43,Retired,Single,4
4502,4451,4064,6203,810,39512,53,Retired,Single,1
7656,8889,1826,18005,635,31856,54,Retired,Single,3
13302,4055,3558,7871,641,13092,50,Retired,Married,4
8430,2650,3860,14662,637,32100,50,Employed,Single,2
11598,3235,4251,4014,779,17621,59,Retired,Single,4
14041,9431,4447,11445,341,37123,53,Retired,Married,3
6176,2538,4139,11038,373,8904,30,Employed,Single,0
4860,7869,137,13072,321,23985,31,Unemployed,Married,1
9158,8627,3734,13054,519,2158,68,Employed,Married,0
8806,4412,1967,3505,378,34362,54,Retired,Single,4
7354,6340,4849,8710,534,19134,60,Unemployed,Married,2
3722,2742,142,19069,456,17786,57,Employed,Married,0
10579,9598,3633,14418,626,26397,18,Unemployed,Single,2
12474,4912,2559,16411,413,11427,22,Employed,Single,4
3613,3999,4157,265,574,11494,47,Employed,Single,2
6331,8660,2019,9498,680,8490,35,Unemployed,Single,2
8790,7610,2849,14732,319,27273,62,Unemployed,Married,3
6116,5045,1192,17194,508,29504,54,Unemployed,Single,0
13170,2713,2313,19774,459,15760,56,Unemployed,Married,4
12004,1918,2355,14149,337,39302,29,Retired,Single,3
12978,6460,2506,610,417,6286,51,Employed,Married,2
3330,2288,333,12480,689,2613,62,Retired,Single,3
5212,3371,2562,13493,676,46540,31,Employed,Married,3
12408,3525,2720,5027,675,23963,55,Retired,Single,2
8493,7764,2438,13638,341,33430,33,Retired,Married,4
10232,3946,1795,5724,769,39419,59,Employed,Single,1
8614,8929,253,202,757,4552,28,Retired,Married,3
8913,6323,3657,401,429,45638,50,Unemployed,Single,0
8913,4151,1423,2027,327,24622,32,Unemployed,Single,2
14529,2039,3237,13955,625,49829,65,Retired,Single,1
13567,7999,3331,14807,808,5996,59,Retired,Single,3
8611,6255,1027,9081,624,35232,27,Employed,Single,2
12432,7459,2166,178,459,40050,20,Employed,Married,2
3319,4789,3994,5817,815,40013,28,Retired,Married,3
11085,7046,469,1979,553,40379,28,Employed,Married,0
13106,4258,1093,7185,547,32002,33,Unemployed,Single,2
7200,6811,4789,3984,652,36868,55,Unemployed,Single,2
7791,5607,2912,10236,697,5113,47,Unemployed,Married,3
3329,3395,180,2983,502,27532,58,Employed,Single,1
11851,4000,4067,14635,601,37861,18,Employed,Married,2
14880,4329,3076,8542,447,9124,55,Employed,Single,2
14310,1547,1220,4282,520,22235,67,Employed,Married,3
9742,3864,4142,11610,562,26262,62,Retired,Married,2
7916,7166,3623,12022,595,43996,51,Retired,Married,3
13164,7958,4729,7988,614,4579,36,Retired,Single,0
4793,9677,1563,12596,591,26619,51,Retired,Married,3
9457,9130,4684,10416,330,22829,53,Unemployed,Married,1
14410,9431,3632,19171,343,10571,21,Employed,Single,2
11125,8558,2357,12535,433,21912,27,Unemployed,Single,0
8703,4302,1562,12503,648,41334,34,Employed,Single,2
13725,3586,4935,4808,518,43001,33,Retired,Married,2
13649,8224,1413,5888,749,35341,38,Unemployed,Single,3
9170,7655,2506,5737,803,13663,45,Employed,Single,2
14292,2649,4828,2358,385,23104,25,Retired,Single,0
13925,1562,1017,5390,550,43323,46,Employed,Single,4
9644,4653,3654,406,564,49277,23,Employed,Single,2
10420,7438,757,16449,822,42970,47,Retired,Married,3
7155,2251,3779,227,379,46771,19,Unemployed,Married,1
11411,9276,620,13169,760,18640,64,Employed,Single,2
14010,2200,1888,18568,551,18511,48,Retired,Single,3
13098,3040,3584,10433,317,33699,42,Employed,Single,2
5611,4532,181,15713,555,45654,40,Employed,Married,4
8691,7667,2728,9121,544,29892,60,Employed,Married,4
5593,7864,2295,10795,452,2049,38,Unemployed,Married,0
3095,3483,2667,17564,799,38951,33,Unemployed,Single,4
12180,7296,1799,15835,757,3301,21,Unemployed,Married,3
12304,9148,1499,9231,841,30497,60,Unemployed,Married,4
9041,9394,984,1101,414,46065,63,Retired,Married,3
13470,3814,3553,2099,746,45120,25,Unemployed,Single,2
8063,9459,2364,513,652,32149,23,Employed,Married,0
11437,3149,3305,11324,840,43130,44,Retired,Married,0
13350,9200,2215,15491,621,36966,68,Employed,Married,4
6349,8400,2790,13693,758,44705,53,Unemployed,Single,1
10644,5300,125,15923,525,47698,53,Employed,Married,4
9560,3978,2620,1832,660,43501,41,Employed,Single,1
13917,8554,4215,10872,830,25889,23,Employed,Single,4
8247,7559,1451,10290,411,3695,60,Employed,Married,3
8356,9933,1008,7137,511,7645,50,Unemployed,Single,3
7077,7709,1213,11358,532,26105,19,Employed,Married,1
7898,8615,3704,5807,458,9149,58,Employed,Married,0
13858,3756,3130,15882,623,16032,33,Employed,Single,1
14391,4868,696,14859,392,23243,55,Employed,Married,2
13946,8887,2270,19500,547,46915,26,Unemployed,Married,0
4417,4327,1515,15137,440,44426,68,Employed,Married,1
11846,3987,1034,11079,703,11433,22,Retired,Single,2
13634,5103,2840,4343,703,25887,27,Retired,Single,2
3110,5021,1535,4628,713,18379,47,Employed,Single,4
11281,6017,813,8981,739,7865,24,Employed,Married,1
11954,3143,309,1300,532,14610,46,Unemployed,Married,3
10391,2712,1011,1947,492,24880,19,Retired,Single,4
14364,8845,1018,2242,398,11715,37,Unemployed,Single,0
13371,6203,3411,15629,412,3631,21,Employed,Married,3
8132,6934,3718,17742,835,34031,45,Retired,Single,2
5504,1519,4920,3656,580,41452,25,Retired,Married,0
12656,2175,3810,16691,822,14830,52,Unemployed,Single,4
11289,5977,2044,1450,649,25596,19,Employed,Married,2
8239,2108,1116,7366,615,44484,58,Retired,Married,2
3292,7786,4723,18507,799,30220,45,Unemployed,Married,2
